,number_concepts,embedding_dimension,boc_model,document,accuracy,method
428,5.0,300.0,VLAD,web,0.868663193111369,self-trained-glove
429,5.0,300.0,VLAD_TFIDF,web,0.8980082024200968,self-trained-glove
430,6.0,300.0,VLAD,web,0.8712456099235688,self-trained-glove
431,6.0,300.0,VLAD_TFIDF,web,0.8928655624239449,self-trained-glove
432,7.0,300.0,VLAD,web,0.8734323420789764,self-trained-glove
433,7.0,300.0,VLAD_TFIDF,web,0.8918599627625798,self-trained-glove
434,8.0,300.0,VLAD,web,0.8712779865408036,self-trained-glove
435,8.0,300.0,VLAD_TFIDF,web,0.8962605188544109,self-trained-glove
436,9.0,300.0,VLAD,web,0.876562841178961,self-trained-glove
437,9.0,300.0,VLAD_TFIDF,web,0.8954972301003232,self-trained-glove
438,10.0,300.0,VLAD,web,0.8826509581361149,self-trained-glove
439,10.0,300.0,VLAD_TFIDF,web,0.9012205973797864,self-trained-glove
440,11.0,300.0,VLAD,web,0.8745466932092338,self-trained-glove
441,11.0,300.0,VLAD_TFIDF,web,0.8972262755150608,self-trained-glove
442,12.0,300.0,VLAD,web,0.8767259579877127,self-trained-glove
443,12.0,300.0,VLAD_TFIDF,web,0.8949466029575117,self-trained-glove
444,13.0,300.0,VLAD,web,0.8836171828410556,self-trained-glove
445,13.0,300.0,VLAD_TFIDF,web,0.8964827794440661,self-trained-glove
446,14.0,300.0,VLAD,web,0.8842620426366177,self-trained-glove
447,14.0,300.0,VLAD_TFIDF,web,0.8982333139259682,self-trained-glove
448,15.0,300.0,VLAD,web,0.8828216046423296,self-trained-glove
449,15.0,300.0,VLAD_TFIDF,web,0.8958553423282941,self-trained-glove
450,16.0,300.0,VLAD,web,0.8849388315034101,self-trained-glove
451,16.0,300.0,VLAD_TFIDF,web,0.8984183790808882,self-trained-glove
452,17.0,300.0,VLAD,web,0.8926403858482412,self-trained-glove
453,17.0,300.0,VLAD_TFIDF,web,0.901111348211636,self-trained-glove
454,18.0,300.0,VLAD,web,0.8875858346569151,self-trained-glove
455,18.0,300.0,VLAD_TFIDF,web,0.8976745871484798,self-trained-glove
456,19.0,300.0,VLAD,web,0.8868165498547935,self-trained-glove
457,19.0,300.0,VLAD_TFIDF,web,0.8980858677191957,self-trained-glove
458,20.0,300.0,VLAD,web,0.8958406355151025,self-trained-glove
459,20.0,300.0,VLAD_TFIDF,web,0.9024040681993628,self-trained-glove
460,21.0,300.0,VLAD,web,0.8899058126803109,self-trained-glove
461,21.0,300.0,VLAD_TFIDF,web,0.9007538932492798,self-trained-glove
462,22.0,300.0,VLAD,web,0.8899036994320063,self-trained-glove
463,22.0,300.0,VLAD_TFIDF,web,0.9005103556121286,self-trained-glove
464,23.0,300.0,VLAD,web,0.8843129404576683,self-trained-glove
465,23.0,300.0,VLAD_TFIDF,web,0.8988823111016414,self-trained-glove
466,24.0,300.0,VLAD,web,0.8907972534935398,self-trained-glove
467,24.0,300.0,VLAD_TFIDF,web,0.8970356110703352,self-trained-glove
468,25.0,300.0,VLAD,web,0.8900043621923837,self-trained-glove
469,25.0,300.0,VLAD_TFIDF,web,0.8952809058286698,self-trained-glove
470,26.0,300.0,VLAD,web,0.8838804500407983,self-trained-glove
471,26.0,300.0,VLAD_TFIDF,web,0.897329390808558,self-trained-glove
472,27.0,300.0,VLAD,web,0.8878760139803836,self-trained-glove
473,27.0,300.0,VLAD_TFIDF,web,0.8966112914131912,self-trained-glove
474,28.0,300.0,VLAD,web,0.8957120389070352,self-trained-glove
475,28.0,300.0,VLAD_TFIDF,web,0.8986332506492852,self-trained-glove
476,29.0,300.0,VLAD,web,0.8910903916770418,self-trained-glove
477,29.0,300.0,VLAD_TFIDF,web,0.9016977243913606,self-trained-glove
478,30.0,300.0,VLAD,web,0.8922404718954537,self-trained-glove
479,30.0,300.0,VLAD_TFIDF,web,0.8995849756466502,self-trained-glove
480,1.0,300.0,VLAD,20n,0.7362129521571028,self-trained
481,1.0,300.0,VLAD_TFIDF,20n,0.8976930072841601,self-trained
482,2.0,300.0,VLAD,20n,0.7679335423665395,self-trained
483,2.0,300.0,VLAD_TFIDF,20n,0.8992046481376851,self-trained
484,3.0,300.0,VLAD,20n,0.775217907611109,self-trained
485,3.0,300.0,VLAD_TFIDF,20n,0.9001133516346543,self-trained
486,4.0,300.0,VLAD,20n,0.7940539293377481,self-trained
487,4.0,300.0,VLAD_TFIDF,20n,0.8985313997886373,self-trained
488,5.0,300.0,VLAD,20n,0.7965421969928073,self-trained
489,5.0,300.0,VLAD_TFIDF,20n,0.8971888681545043,self-trained
490,6.0,300.0,VLAD,20n,0.8097221909375559,self-trained
491,6.0,300.0,VLAD_TFIDF,20n,0.8979745075773418,self-trained
492,7.0,300.0,VLAD,20n,0.8136516539880582,self-trained
493,7.0,300.0,VLAD_TFIDF,20n,0.8990482269230252,self-trained
494,8.0,300.0,VLAD,20n,0.8149944894292946,self-trained
495,8.0,300.0,VLAD_TFIDF,20n,0.9001243729155368,self-trained
496,9.0,300.0,VLAD,20n,0.8149204043043483,self-trained
497,9.0,300.0,VLAD_TFIDF,20n,0.8997221670684183,self-trained
498,10.0,300.0,VLAD,20n,0.8154499893593687,self-trained
499,10.0,300.0,VLAD_TFIDF,20n,0.8998088081308261,self-trained
500,11.0,300.0,VLAD,20n,0.8177926990413027,self-trained
501,11.0,300.0,VLAD_TFIDF,20n,0.8993777736380576,self-trained
502,12.0,300.0,VLAD,20n,0.8222309201068555,self-trained
503,12.0,300.0,VLAD_TFIDF,20n,0.8996100097980558,self-trained
504,13.0,300.0,VLAD,20n,0.8236389681571833,self-trained
505,13.0,300.0,VLAD_TFIDF,20n,0.9009575152883228,self-trained
506,14.0,300.0,VLAD,20n,0.8224087565575809,self-trained
507,14.0,300.0,VLAD_TFIDF,20n,0.8999620478924187,self-trained
508,15.0,300.0,VLAD,20n,0.8262947654484677,self-trained
509,15.0,300.0,VLAD_TFIDF,20n,0.8994952653996309,self-trained
510,16.0,300.0,VLAD,20n,0.8282480661596064,self-trained
511,16.0,300.0,VLAD_TFIDF,20n,0.9014726765008862,self-trained
512,17.0,300.0,VLAD,20n,0.8286853052402552,self-trained
513,17.0,300.0,VLAD_TFIDF,20n,0.9013374083306532,self-trained
514,18.0,300.0,VLAD,20n,0.8327987779866858,self-trained
515,18.0,300.0,VLAD_TFIDF,20n,0.9004353854927531,self-trained
516,19.0,300.0,VLAD,20n,0.8303767186348677,self-trained
517,19.0,300.0,VLAD_TFIDF,20n,0.9011832637030458,self-trained
518,20.0,300.0,VLAD,20n,0.8362295574425962,self-trained
519,20.0,300.0,VLAD_TFIDF,20n,0.8997241197600884,self-trained
520,21.0,300.0,VLAD,20n,0.8334685391493055,self-trained
521,21.0,300.0,VLAD_TFIDF,20n,0.9012873415770202,self-trained
522,22.0,300.0,VLAD,20n,0.8357198531163196,self-trained
523,22.0,300.0,VLAD_TFIDF,20n,0.9012376570753042,self-trained
524,23.0,300.0,VLAD,20n,0.8385897398007719,self-trained
525,23.0,300.0,VLAD_TFIDF,20n,0.9018215430319212,self-trained
526,24.0,300.0,VLAD,20n,0.8366313315730377,self-trained
527,24.0,300.0,VLAD_TFIDF,20n,0.898065944195908,self-trained
528,25.0,300.0,VLAD,20n,0.8352079233402495,self-trained
529,25.0,300.0,VLAD_TFIDF,20n,0.9012736106068008,self-trained
530,26.0,300.0,VLAD,20n,0.8369159855859302,self-trained
531,26.0,300.0,VLAD_TFIDF,20n,0.9004791095319572,self-trained
532,27.0,300.0,VLAD,20n,0.8418113394965391,self-trained
533,27.0,300.0,VLAD_TFIDF,20n,0.9002123948321836,self-trained
534,28.0,300.0,VLAD,20n,0.8391919031595771,self-trained
535,28.0,300.0,VLAD_TFIDF,20n,0.9019952411464668,self-trained
536,29.0,300.0,VLAD,20n,0.8397839708139354,self-trained
537,29.0,300.0,VLAD_TFIDF,20n,0.9010315092038906,self-trained
538,30.0,300.0,VLAD,20n,0.8419968277187287,self-trained
539,30.0,300.0,VLAD_TFIDF,20n,0.9012237492020616,self-trained
540,1.0,300.0,VLAD,20n,0.7595636431258883,Glove
541,1.0,300.0,VLAD_TFIDF,20n,0.8935898371173154,Glove
542,2.0,300.0,VLAD,20n,0.7893136131928933,Glove
543,2.0,300.0,VLAD_TFIDF,20n,0.8944849527660228,Glove
544,3.0,300.0,VLAD,20n,0.8119969395662572,Glove
545,3.0,300.0,VLAD_TFIDF,20n,0.8953583169927721,Glove
546,4.0,300.0,VLAD,20n,0.8219971746196121,Glove
547,4.0,300.0,VLAD_TFIDF,20n,0.8978691731376978,Glove
548,5.0,300.0,VLAD,20n,0.8318658221825659,Glove
549,5.0,300.0,VLAD_TFIDF,20n,0.8974633434465037,Glove
550,6.0,300.0,VLAD,20n,0.8376031638673587,Glove
551,6.0,300.0,VLAD_TFIDF,20n,0.897409244016855,Glove
552,7.0,300.0,VLAD,20n,0.8436825448871945,Glove
553,7.0,300.0,VLAD_TFIDF,20n,0.8992905531702439,Glove
554,8.0,300.0,VLAD,20n,0.8470044823349511,Glove
555,8.0,300.0,VLAD_TFIDF,20n,0.9003459995788555,Glove
556,9.0,300.0,VLAD,20n,0.8502874020414802,Glove
557,9.0,300.0,VLAD_TFIDF,20n,0.8980338398210167,Glove
558,10.0,300.0,VLAD,20n,0.8523387139403085,Glove
559,10.0,300.0,VLAD_TFIDF,20n,0.9019369885478544,Glove
560,11.0,300.0,VLAD,20n,0.856205027240539,Glove
561,11.0,300.0,VLAD_TFIDF,20n,0.9009316162853008,Glove
562,12.0,300.0,VLAD,20n,0.8559682117783369,Glove
563,12.0,300.0,VLAD_TFIDF,20n,0.9021810398681802,Glove
564,13.0,300.0,VLAD,20n,0.8573226087084895,Glove
565,13.0,300.0,VLAD_TFIDF,20n,0.9012876993470782,Glove
566,14.0,300.0,VLAD,20n,0.8617013220266483,Glove
567,14.0,300.0,VLAD_TFIDF,20n,0.9008358416807432,Glove
568,15.0,300.0,VLAD,20n,0.8586253410696958,Glove
569,15.0,300.0,VLAD_TFIDF,20n,0.9005443046467249,Glove
570,16.0,300.0,VLAD,20n,0.8640975763303043,Glove
571,16.0,300.0,VLAD_TFIDF,20n,0.9026234153626904,Glove
572,17.0,300.0,VLAD,20n,0.8628575820573647,Glove
573,17.0,300.0,VLAD_TFIDF,20n,0.9014995379260125,Glove
574,18.0,300.0,VLAD,20n,0.8653316867997114,Glove
575,18.0,300.0,VLAD_TFIDF,20n,0.9021845040127716,Glove
576,19.0,300.0,VLAD,20n,0.8665148853144802,Glove
577,19.0,300.0,VLAD_TFIDF,20n,0.9021516358367933,Glove
578,20.0,300.0,VLAD,20n,0.8712948999138521,Glove
579,20.0,300.0,VLAD_TFIDF,20n,0.9030377617660502,Glove
580,21.0,300.0,VLAD,20n,0.8683731406417788,Glove
581,21.0,300.0,VLAD_TFIDF,20n,0.9020024919010096,Glove
582,22.0,300.0,VLAD,20n,0.8698794259074469,Glove
583,22.0,300.0,VLAD_TFIDF,20n,0.9024385470184868,Glove
584,23.0,300.0,VLAD,20n,0.8714154875808898,Glove
585,23.0,300.0,VLAD_TFIDF,20n,0.9010962126842881,Glove
586,24.0,300.0,VLAD,20n,0.8681930479645533,Glove
587,24.0,300.0,VLAD_TFIDF,20n,0.9006908428378999,Glove
588,25.0,300.0,VLAD,20n,0.8720975325902763,Glove
589,25.0,300.0,VLAD_TFIDF,20n,0.9037598702334004,Glove
590,26.0,300.0,VLAD,20n,0.869615633220706,Glove
591,26.0,300.0,VLAD_TFIDF,20n,0.9011174021778908,Glove
592,27.0,300.0,VLAD,20n,0.8729798479489194,Glove
593,27.0,300.0,VLAD_TFIDF,20n,0.9018910435240824,Glove
594,28.0,300.0,VLAD,20n,0.8750335613729779,Glove
595,28.0,300.0,VLAD_TFIDF,20n,0.9025533078582284,Glove
596,29.0,300.0,VLAD,20n,0.8745345289582499,Glove
597,29.0,300.0,VLAD_TFIDF,20n,0.9014016096168156,Glove
598,30.0,300.0,VLAD,20n,0.8728370642945784,Glove
599,30.0,300.0,VLAD_TFIDF,20n,0.9034454150731946,Glove
600,1.0,300.0,VLAD,20n,0.7229746215615737,W2V
601,1.0,300.0,VLAD_TFIDF,20n,0.8944187794268196,W2V
602,2.0,300.0,VLAD,20n,0.7636335369608145,W2V
603,2.0,300.0,VLAD_TFIDF,20n,0.8942917300389046,W2V
604,3.0,300.0,VLAD,20n,0.7837309917325783,W2V
